Country,Category,#,Player,Pos,Club,Birth Place,Birth Date,Age,MP,Min,Gls
Ecuador,world_cup,11.0,Kevin Rodríguez,FW,1.be Union SG,"Ibarra, Ecuador",2000-03-04,26-099,,,
Ecuador,world_cup,2.0,Félix Torres Caicedo,DF,1.br Internacional,"San Lorenzo, Ecuador",1997-01-11,29-151,,,
Ecuador,world_cup,8.0,Anthony Valencia,MF,1.be Antwerp,"Guayaquil, Ecuador",2003-07-21,22-325,,,
Ecuador,world_cup,13.0,Enner Valencia,"FW,MF",1.mx Pachuca,"San Lorenzo, Ecuador",1989-11-04,36-219,,,
Ecuador,world_cup,22.0,Gonzalo Valle,GK,1.ec LDU Quito,"Riobamba, Ecuador",1996-02-28,30-103,,,
Ecuador,world_cup,15.0,Pedro Vite,MF,1.mx UNAM,"Babahoyo, Ecuador",2002-03-09,24-094,,,
Ecuador,world_cup,9.0,John Yeboah,"FW,MF",2.it Venezia,"Hamburg, Germany",2000-06-23,25-353,,,
Egypt,world_cup,9.0,Hamza Abdelkarim,FW,4.es Barcelona B,"Cairo, Egypt",2008-01-01,18-161,,,
Egypt,world_cup,4.0,Hossam Abdelmaguid,DF,1.eg Zamalek SC,Egypt,2001-04-30,25-042,,,
Egypt,world_cup,6.0,Mohamed Abdelmonem,DF,1.fr Nice,"Zagazig, Egypt",1999-02-01,27-130,,,
Egypt,world_cup,20.0,Ibrahim Adel,MF,1.dk Nordsjælland,"Port Said, Egypt",2001-04-23,25-049,,,
Egypt,world_cup,26.0,Mohamed Alaa,GK,1.eg El Gouna FC,Egypt,1999-01-01,27-161,,,
Egypt,world_cup,24.0,Tarek Alaa,DF,1.eg ZED,Egypt,2002-01-05,24-157,,,
Egypt,world_cup,8.0,Emam Ashour,MF,1.eg Al Ahly,"As Sinbillāwayn, Egypt",1998-02-20,28-111,,,
Egypt,world_cup,19.0,Marwan Attia,MF,1.eg Al Ahly,"Kafr ad Dawwār, Egypt",1998-08-12,27-303,,,
Egypt,world_cup,18.0,Nabil Dunga,MF,1.sa Al-Najma,"Al Maḩallah al Kubrá, Egypt",1996-04-06,30-066,,,
Egypt,world_cup,14.0,Hamdy Fathy,MF,1.qa Al-Wakrah,Egypt,1994-09-29,31-255,,,
Egypt,world_cup,13.0,Ahmed Fatouh,DF,1.eg Zamalek SC,"Cairo, Egypt",1998-03-22,28-081,,,
Egypt,world_cup,15.0,Karim Hafez,DF,1.eg Pyramids FC,Egypt,1996-03-12,30-091,,,
Egypt,world_cup,3.0,Mohamed Hany,"DF,MF",1.eg Al Ahly,"Cairo, Egypt",1996-01-25,30-137,,,
Egypt,world_cup,12.0,Haissem Hassan,MF,1.es Oviedo,"Paris, France",2002-02-08,24-123,,,
Egypt,world_cup,2.0,Yasser Ibrahim,DF,1.eg Al Ahly,"Al Manşūrah, Egypt",1993-02-10,33-121,,,
Egypt,world_cup,16.0,El Mahdy Soliman,GK,1.eg Zamalek SC,"Cairo, Egypt",1986-11-30,39-193,,,
Egypt,world_cup,22.0,Omar Marmoush,"FW,MF",1.eng Manchester City,"Cairo, Egypt",1999-02-07,27-124,,,
Egypt,world_cup,17.0,Mohanad Mostafa,,1.eg Pyramids FC,"Cairo, Egypt",1996-05-29,30-013,,,
Egypt,world_cup,5.0,Ramy Rabia,"DF,MF",1.ae Al Ain FC,"Cairo, Egypt",1993-05-20,33-022,,,
Egypt,world_cup,21.0,Mahmoud Saber,MF,1.eg ZED,Egypt,2001-07-30,24-316,,,
Egypt,world_cup,10.0,Mohamed Salah,"FW,MF",1.eng Liverpool,"Basyūn, Egypt",1992-06-15,33-361,,,
Egypt,world_cup,1.0,Mohamed El-Shenawy,GK,1.eg Al Ahly,"Cairo, Egypt",1988-12-18,37-175,,,
Egypt,world_cup,23.0,Mostafa Shobeir,GK,1.eg Al Ahly,"Giza, Egypt",2000-05-15,26-027,,,
Egypt,world_cup,7.0,Trézéguet,"FW,MF",1.eg Al Ahly,"Kafr El Sheikh, Egypt",1994-10-01,31-253,,,
Egypt,world_cup,11.0,Mostafa Ziko,FW,1.eg Pyramids FC,"Alexandria, Egypt",1997-04-27,29-045,,,
Egypt,world_cup,25.0,Zizo,MF,1.eg Al Ahly,"Cairo, Egypt",1996-01-10,30-152,,,
England,world_cup,8.0,Elliot Anderson,MF,1.eng Nottingham Forest,"England, United Kingdom",2002-11-06,23-217,,,
England,world_cup,10.0,Jude Bellingham,MF,1.es Real Madrid,"Stourbridge, England, United Kingdom",2003-06-29,22-347,,,
England,world_cup,15.0,Dan Burn,DF,1.eng Newcastle United,"Blyth, England, United Kingdom",1992-05-09,34-033,,,
England,world_cup,21.0,Eberechi Eze,"FW,MF",1.eng Arsenal,"Greenwich, England, United Kingdom",1998-06-29,27-347,,,
England,world_cup,18.0,Anthony Gordon,"FW,MF",1.es Barcelona,"Liverpool, England, United Kingdom",2001-02-24,25-107,,,
England,world_cup,6.0,Marc Guéhi,DF,1.eng Manchester City,"Abidjan, Côte d'Ivoire",2000-07-13,25-333,,,
England,world_cup,13.0,Dean Henderson,GK,1.eng Crystal Palace,"Whitehaven, England, United Kingdom",1997-03-12,29-091,,,
England,world_cup,14.0,Jordan Henderson,MF,1.eng Brentford,"Sunderland, England, United Kingdom",1990-06-17,35-359,,,
England,world_cup,24.0,Reece James,"DF,MF",1.eng Chelsea,"London, England, United Kingdom",1999-12-08,26-185,,,
England,world_cup,9.0,Harry Kane,FW,1.de Bayern Munich,"Walthamstow, England, United Kingdom",1993-07-28,32-318,,,
England,world_cup,2.0,Ezri Konsa,"DF,FW",1.eng Aston Villa,"London, England, United Kingdom",1997-10-23,28-231,,,
England,world_cup,12.0,Tino Livramento,"DF,MF",1.eng Newcastle United,"England, United Kingdom",2002-11-12,23-211,,,
England,world_cup,20.0,Noni Madueke,"FW,MF",1.eng Arsenal,"England, United Kingdom",2002-03-10,24-093,,,
England,world_cup,16.0,Kobbie Mainoo,MF,1.eng Manchester Utd,"England, United Kingdom",2005-04-19,21-053,,,
England,world_cup,3.0,Nico O’Reilly,"DF,MF",1.eng Manchester City,"England, United Kingdom",2005-03-21,21-082,,,
England,world_cup,1.0,Jordan Pickford,GK,1.eng Everton,"Washington, England, United Kingdom",1994-03-07,32-096,,,
England,world_cup,26.0,Jarell Quansah,DF,1.de Leverkusen,"Warrington, England, United Kingdom",2003-01-29,23-133,,,
England,world_cup,11.0,Marcus Rashford,"FW,MF",1.es Barcelona,"Wythenshawe, England, United Kingdom",1997-10-31,28-223,,,
England,world_cup,4.0,Declan Rice,"DF,MF",1.eng Arsenal,"London, England, United Kingdom",1999-01-14,27-148,,,
England,world_cup,17.0,Morgan Rogers,"FW,MF",1.eng Aston Villa,"England, United Kingdom",2002-07-26,23-320,,,
England,world_cup,7.0,Bukayo Saka,"FW,MF",1.eng Arsenal,"Ealing, England, United Kingdom",2001-09-05,24-279,,,
England,world_cup,25.0,Djed Spence,"DF,MF",1.eng Tottenham Hotspur,"London, England, United Kingdom",2000-08-09,25-306,,,
England,world_cup,5.0,John Stones,DF,1.eng Manchester City,"Barnsley, England, United Kingdom",1994-05-28,32-014,,,
England,world_cup,22.0,Ivan Toney,FW,1.sa Al-Ahli,"Northampton, England, United Kingdom",1996-03-16,30-087,,,
England,world_cup,23.0,James Trafford,GK,1.eng Manchester City,"England, United Kingdom",2002-10-10,23-244,,,
England,world_cup,19.0,Ollie Watkins,"FW,MF",1.eng Aston Villa,"Borough of Torbay, England, United Kingdom",1995-12-30,30-163,,,
France,world_cup,25.0,Maghnes Akliouche,MF,1.fr Monaco,"Tremblay-en-France, France",2002-02-25,24-106,,,
France,world_cup,12.0,Bradley Barcola,"FW,MF",1.fr Paris Saint-Germain,"Villeurbanne, France",2002-09-02,23-282,,,
France,world_cup,24.0,Rayan Cherki,"FW,MF",1.eng Manchester City,"Pusignan, France",2003-08-17,22-298,,,
France,world_cup,7.0,Ousmane Dembélé,"FW,MF",1.fr Paris Saint-Germain,"Vernon, France",1997-05-15,29-027,,,
France,world_cup,3.0,Lucas Digne,"DF,MF",1.eng Aston Villa,"Meaux, France",1993-07-20,32-326,,,
France,world_cup,20.0,Désiré Doué,"FW,MF",1.fr Paris Saint-Germain,"Angers, France",2005-06-03,21-008,,,
France,world_cup,2.0,Malo Gusto,"DF,MF",1.eng Chelsea,"Lyon, France",2003-05-19,23-023,,,
France,world_cup,21.0,Lucas Hernández,DF,1.fr Paris Saint-Germain,"Marseille, France",1996-02-14,30-117,,,
France,world_cup,19.0,Theo Hernández,"DF,MF",1.sa Al-Hilal,"Marseille, France",1997-10-06,28-248,,,
France,world_cup,13.0,N'Golo Kanté,MF,1.tr Fenerbahçe,"Paris, France",1991-03-29,35-074,,,
France,world_cup,15.0,Ibrahima Konaté,DF,1.eng Liverpool,"Paris, France",1999-05-25,27-017,,,
France,world_cup,6.0,Manu Koné,MF,1.it Roma,"Colombes, France",2001-05-17,25-025,,,
France,world_cup,5.0,Jules Koundé,DF,1.es Barcelona,"Paris, France",1998-11-12,27-211,,,
France,world_cup,26.0,Maxence Lacroix,DF,1.eng Crystal Palace,"Villeneuve-Saint-Georges, France",2000-04-06,26-066,,,
France,world_cup,16.0,Mike Maignan,GK,1.it Milan,"Cayenne, French Guiana",1995-07-03,30-343,,,
France,world_cup,22.0,Jean-Philippe Mateta,FW,1.eng Crystal Palace,"Châteauroux, France",1997-06-28,28-348,,,
France,world_cup,10.0,Kylian Mbappé,"FW,MF",1.es Real Madrid,"Paris 19 Buttes-Chaumont, France",1998-12-20,27-173,,,
France,world_cup,11.0,Michael Olise,"FW,MF",1.de Bayern Munich,"England, United Kingdom",2001-12-12,24-181,,,
France,world_cup,14.0,Adrien Rabiot,MF,1.it Milan,"Saint-Maurice, France",1995-04-03,31-069,,,
France,world_cup,23.0,Robin Risser,GK,1.fr Lens,"Colmar, France",2004-12-02,21-191,,,
France,world_cup,17.0,William Saliba,DF,1.eng Arsenal,"Bondy, France",2001-03-24,25-079,,,
France,world_cup,1.0,Brice Samba,GK,1.fr Rennes,"Linzolo, Congo",1994-04-25,32-047,,,
France,world_cup,8.0,Aurélien Tchouaméni,"DF,MF",1.es Real Madrid,"Rouen, France",2000-01-27,26-135,,,
France,world_cup,9.0,Marcus Thuram,"FW,MF",1.it Inter,"Provincia di Parma, Italy",1997-08-06,28-309,,,
France,world_cup,4.0,Dayot Upamecano,DF,1.de Bayern Munich,"Évreux, France",1998-10-27,27-227,,,
France,world_cup,18.0,Warren Zaïre-Emery,"DF,MF",1.fr Paris Saint-Germain,"Montreuil, France",2006-03-08,20-095,,,
Germany,world_cup,20.0,Nadiem Amiri,MF,1.de Mainz 05,"Kreisfreie Stadt Ludwigshafen am Rhein, Germany",1996-10-27,29-227,,,
Germany,world_cup,3.0,Waldemar Anton,"DF,MF",1.de Dortmund,"Olmaliq, Uzbekistan",1996-07-20,29-326,,,
Germany,world_cup,12.0,Oliver Baumann,GK,1.de Hoffenheim,"Breisach am Rhein, Germany",1990-06-02,36-009,,,
Germany,world_cup,14.0,Maximilian Beier,"FW,MF",1.de Dortmund,Germany,2002-10-17,23-237,,,
Germany,world_cup,18.0,Nathaniel Brown,"DF,MF",1.de Eintracht Frankfurt,"Amberg, Germany",2003-06-16,22-360,,,
Germany,world_cup,8.0,Leon Goretzka,MF,1.de Bayern Munich,"Bochum, Germany",1995-02-06,31-125,,,
Germany,world_cup,13.0,Pascal Groß,"DF,MF",1.eng Brighton,"Mannheim, Germany",1991-06-15,34-361,,,
Germany,world_cup,7.0,Kai Havertz,"FW,MF",1.eng Arsenal,"Aachen, Germany",1999-06-11,27-000,,,
Germany,world_cup,,Lennart Karl,MF,1.de Bayern Munich,,2008-02-22,18-109,,,
Germany,world_cup,6.0,Joshua Kimmich,"DF,MF",1.de Bayern Munich,"Rottweil, Germany",1995-02-08,31-123,,,
Germany,world_cup,9.0,Jamie Leweling,"FW,MF",1.de Stuttgart,"Nürnberg, Germany",2001-02-26,25-105,,,
Germany,world_cup,10.0,Jamal Musiala,MF,1.de Bayern Munich,"Stuttgart, Germany",2003-02-26,23-105,,,
Germany,world_cup,1.0,Manuel Neuer,GK,1.de Bayern Munich,"Gelsenkirchen, Germany",1986-03-27,40-076,,,
Germany,world_cup,23.0,Felix Nmecha,MF,1.de Dortmund,"England, United Kingdom",2000-10-10,25-244,,,
Germany,world_cup,21.0,Alexander Nübel,GK,1.de Stuttgart,"Paderborn, Germany",1996-09-30,29-254,,,
Germany,world_cup,25.0,Assan Ouédraogo,MF,1.de RB Leipzig,"Mülheim an der Ruhr, Germany",2006-05-09,20-033,,,
Germany,world_cup,5.0,Aleksandar Pavlovic,MF,1.de Bayern Munich,"München, Landeshauptstadt, Germany",2004-05-03,22-039,,,
Germany,world_cup,22.0,David Raum,"DF,MF",1.de RB Leipzig,"Nürnberg, Germany",1998-04-22,28-050,,,
Germany,world_cup,2.0,Antonio Rüdiger,DF,1.es Real Madrid,"Berlin, Germany",1993-03-03,33-100,,,
Germany,world_cup,19.0,Leroy Sané,"FW,MF",1.tr Galatasaray,"Essen, Germany",1996-01-11,30-151,,,
Germany,world_cup,15.0,Nico Schlotterbeck,DF,1.de Dortmund,"Waiblingen, Germany",1999-12-01,26-192,,,
Germany,world_cup,16.0,Angelo Stiller,MF,1.de Stuttgart,"München, Germany",2001-04-04,25-068,,,
Germany,world_cup,4.0,Jonathan Tah,DF,1.de Bayern Munich,"Hamburg, Germany",1996-02-11,30-120,,,
Germany,world_cup,24.0,Malick Thiaw,"DF,MF",1.eng Newcastle United,"Düsseldorf, Germany",2001-08-08,24-307,,,
Germany,world_cup,26.0,Deniz Undav,"FW,MF",1.de Stuttgart,"Achim, Germany",1996-07-19,29-327,,,
Germany,world_cup,17.0,Florian Wirtz,"FW,MF",1.eng Liverpool,"Brauweiler, Germany",2003-05-03,23-039,,,
Germany,world_cup,11.0,Nick Woltemade,"FW,MF",1.eng Newcastle United,"Bremen, Germany",2002-02-14,24-117,,,
Ghana,world_cup,4.0,Jonas Adjetey,DF,1.de Wolfsburg,"Accra, Ghana",2003-12-13,22-180,,,
Ghana,world_cup,12.0,Joseph Anang,GK,1.ie St Patrick's,"Teshi Old Town, Ghana",2000-06-08,26-003,,,
Ghana,world_cup,16.0,Benjamin Asare,GK,1.gh Accra Hearts of Oak SC,Ghana,1992-07-13,33-333,,,
Ghana,world_cup,1.0,Lawrence Ati-Zigi,GK,1.ch St. Gallen,"Accra, Ghana",1996-11-29,29-194,,,
Ghana,world_cup,9.0,Jordan Ayew,"FW,MF",2.eng Leicester City,"Marseille, France",1991-09-11,34-273,,,
Ghana,world_cup,20.0,Augustine Boakye,"FW,MF",2.fr Saint-Étienne,"Bompata, Ghana",2000-11-03,25-220,,,
Ghana,world_cup,13.0,Christopher Bonsu-Baah,MF,1.sa Al-Qadsiah,Ghana,2004-12-14,21-179,,,
Ghana,world_cup,7.0,Abdul Fatawu Issahaku,"FW,MF",2.eng Leicester City,"Tamale, Ghana",2004-03-08,22-095,,,
Ghana,world_cup,25.0,Prince Kwabena Adu,FW,1.cz Viktoria Plzeň,"Sampa, Ghana",2003-09-23,22-261,,,
Ghana,world_cup,23.0,Derrick Luckassen,"DF,MF",1.cy Pafos FC,"Amsterdam, Netherlands",1995-07-03,30-343,,,
Ghana,world_cup,14.0,Gideon Mensah,"DF,MF",1.fr Auxerre,"Accra, Ghana",1998-07-18,27-328,,,
Ghana,world_cup,6.0,Abdul Mumin,DF,1.es Rayo Vallecano,"Accra, Ghana",1998-06-06,28-005,,,
Ghana,world_cup,24.0,Ernest Nuamah,"FW,MF",1.fr Lyon,"Kumasi, Ghana",2003-11-01,22-222,,,
Ghana,world_cup,18.0,Jerome Opoku,DF,1.tr Başakşehir,"England, United Kingdom",1998-10-14,27-240,,,
Ghana,world_cup,15.0,Elisha Owusu,MF,1.fr Auxerre,"Montreuil, France",1997-11-07,28-216,,,
Ghana,world_cup,5.0,Thomas Partey,"DF,MF",1.es Villarreal,"Odumase Krobo, Ghana",1993-06-13,32-363,,,
Ghana,world_cup,21.0,Kojo Peprah Oppong,DF,1.fr Nice,"Accra, Ghana",2004-06-04,22-007,,,
Ghana,world_cup,17.0,Abdul Rahman Baba,"DF,MF",1.gr PAOK,"Tamale, Ghana",1994-07-02,31-344,,,
Ghana,world_cup,2.0,Alidu Seidu,DF,1.fr Rennes,"Accra, Ghana",2000-06-04,26-007,,,
Ghana,world_cup,11.0,Antoine Semenyo,"FW,MF",1.eng Manchester City,"London, England, United Kingdom",2000-01-07,26-155,,,
Ghana,world_cup,26.0,Marvin Senaya,"DF,MF",1.fr Auxerre,"Saint-Maurice, France",2001-01-28,25-134,,,
Ghana,world_cup,8.0,Kwasi Sibo,MF,1.es Oviedo,"Wa, Ghana",1998-06-24,27-352,,,
Ghana,world_cup,22.0,Kamaldeen Sulemana,"FW,MF",1.us Atlanta Utd,"Techiman, Ghana",2002-02-15,24-116,,,
Ghana,world_cup,10.0,Brandon Thomas-Asante,"FW,MF",2.eng Coventry City,"Milton Keynes, England, United Kingdom",1998-12-29,27-164,,,
Ghana,world_cup,19.0,Iñaki Williams,"FW,MF",1.es Athletic Club,"Bilbao, Spain",1994-06-15,31-361,,,
Ghana,world_cup,3.0,Caleb Yirenkyi,MF,1.dk Nordsjælland,"Bechem, Ghana",2006-01-15,20-147,,,
Haiti,world_cup,4.0,Ricardo Adé,DF,1.ec LDU Quito,"Saint-Marc, Haiti",1990-05-21,36-021,1.0,90.0,0.0
Haiti,world_cup,2.0,Carlens Arcus,DF,1.fr Angers,"Port-au-Prince, Haiti",1996-06-28,29-348,1.0,90.0,0.0
Haiti,world_cup,10.0,Jean-Ricner Bellegarde,MF,1.eng Wolves,"Colombes, France",1998-06-27,27-349,1.0,90.0,0.0
Haiti,world_cup,21.0,Josué Casimir,"FW,MF",1.fr Auxerre,"Baie-Mahault, Guadeloupe",2001-09-24,24-260,1.0,30.0,0.0
Haiti,world_cup,11.0,Louicius Deedson,MF,1.us FC Dallas,"Tabarre, Haiti",2001-02-11,25-120,1.0,60.0,0.0
Haiti,world_cup,5.0,Hannes Delcroix,DF,1.ch Lugano,"Ti Rivyè Latibonit, Haiti",1999-02-28,27-103,1.0,90.0,0.0
Haiti,world_cup,23.0,Josué Duverger,GK,5.de Cosmos Koblenz,"Montréal, QC, Canada",2000-04-27,26-045,0.0,,
Haiti,world_cup,22.0,Jean-Kevin Duverne,DF,1.be Gent,"Paris, France",1997-07-12,28-334,0.0,,
Haiti,world_cup,7.0,Derrick Etienne,"FW,MF",1.us Toronto FC,"Richmond, VA, United States",1996-11-25,29-198,0.0,,
Haiti,world_cup,8.0,Martin Expérience,DF,2.fr Nancy,"Châteaubriant, France",1999-03-09,27-094,1.0,90.0,0.0
Haiti,world_cup,19.0,Yassin Fortuné,"FW,MF",2.pt Vizela,"Aubervilliers, France",1999-01-30,27-132,1.0,6.0,0.0
Haiti,world_cup,6.0,Carl Fred Sainté,MF,2.us El Paso,"Grangwav, Haiti",2002-08-09,23-306,0.0,,
Haiti,world_cup,18.0,Wilson Isidor,FW,1.eng Sunderland,"Rennes, France",2000-08-27,25-288,1.0,75.0,0.0
Haiti,world_cup,17.0,Danley Jean-Jacques,MF,1.us Philadelphia Union,"Tigwav, Haiti",2000-05-20,26-022,1.0,90.0,0.0
Haiti,world_cup,16.0,Lenny Joseph,"FW,MF",1.hu Ferencváros,"Paris, France",2000-10-12,25-242,1.0,15.0,0.0
Haiti,world_cup,13.0,Duke Lacroix,"DF,FW",2.us CS Switchbacks,"New Egypt, NJ, United States",1993-10-14,32-240,0.0,,
Haiti,world_cup,9.0,Duckens Nazon,"FW,MF",1.ir Esteghlal,"Paris, France",1994-04-07,32-065,0.0,,
Haiti,world_cup,24.0,Wilguens Paugain,DF,1.be Zulte Waregem,"Thomazeau, Haiti",2001-08-24,24-291,0.0,,
Haiti,world_cup,12.0,Alexandre Pierre,GK,3.fr Sochaux,"Aubervilliers, France",2001-02-25,25-106,0.0,,
Haiti,world_cup,14.0,Leverton Pierre,MF,2.pt Vizela,"Tabarre, Haiti",1998-03-09,28-094,,,
Haiti,world_cup,26.0,Woodensky Pierre,MF,1.ht Violette AC,"Cité Soleil, Haiti",2004-12-30,21-163,0.0,,
Haiti,world_cup,20.0,Frantzdy Pierrot,FW,1.tr Rizespor,"Port-au-Prince, Haiti",1995-03-29,31-074,1.0,90.0,0.0
Haiti,world_cup,1.0,Johny Placide,GK,2.fr Bastia,"Montfermeil, France",1988-01-29,38-133,1.0,90.0,0.0
Haiti,world_cup,15.0,Ruben Providence,MF,2.nl Almere City,"Lagny-sur-Marne, France",2001-07-07,24-339,1.0,84.0,0.0
Haiti,world_cup,25.0,Dominique Simon,MF,1.sk 1. FC Tatran Prešov B,"Paris, France",2000-07-29,25-317,0.0,,
Haiti,world_cup,3.0,Keeto Thermoncy,DF,1.ch Young Boys,Switzerland,2006-03-29,20-074,0.0,,
IR Iran,world_cup,11.0,Ali Alipour,FW,1.ir Persepolis,"Qā’em Shahr, Iran",1995-11-11,30-212,,,
IR Iran,world_cup,1.0,Alireza Beiranvand,GK,1.ir Tractor,"Khorramabad, Iran",1992-09-21,33-263,,,
IR Iran,world_cup,15.0,Rouzbeh Cheshmi,"DF,MF",1.ir Esteghlal,"Tehran, Iran",1993-07-24,32-322,,,
IR Iran,world_cup,24.0,Dennis Eckert,FW,1.be Standard Liège,"Bonn, Germany",1997-01-09,29-153,,,
IR Iran,world_cup,25.0,Danial Eiri,DF,1.ir Malavan,"Gonbad-e Kāvūs, Iran",2003-10-26,22-228,,,
IR Iran,world_cup,6.0,Saeid Ezatolahi,MF,1.ae Al-Ahli Dubai FC,"Bandar-e Anzalī, Iran",1996-10-01,29-253,,,
IR Iran,world_cup,10.0,Mehdi Ghayedi,FW,1.ae Al-Nasr Dubai SC,"Bushehr, Iran",1998-12-05,27-188,,,
IR Iran,world_cup,14.0,Saman Ghoddos,"FW,MF",1.ae Al-Ittihad Kalba SC,"Malmö, Sweden",1993-09-06,32-278,,,
IR Iran,world_cup,21.0,Mohammad Ghorbani,MF,1.ae Al-Wahda FC,"Īrān, Iran",2001-05-21,25-021,,,
IR Iran,world_cup,3.0,Ehsan Hajsafi,"DF,MF",1.ir Sepahan,"Kāshān, Iran",1990-02-25,36-106,,,
IR Iran,world_cup,2.0,Saleh Hardani,DF,1.ir Esteghlal,"Īrān, Iran",1998-12-26,27-167,,,
IR Iran,world_cup,22.0,Hossein Hosseini,GK,1.ir Sepahan,"Shiraz, Iran",1992-06-30,33-346,,,
IR Iran,world_cup,18.0,Amirhossein Hosseinzadeh,FW,1.ir Tractor,"Tehrān, Iran",2000-10-30,25-224,,,
IR Iran,world_cup,7.0,Alireza Jahanbakhsh,"FW,MF",1.be Dender,"Jīrandeh, Iran",1993-08-11,32-304,,,
IR Iran,world_cup,13.0,Hossein Kanaanizadegan,DF,1.ir Persepolis,"Bandar-e Māhshahr, Iran",1994-03-23,32-080,,,
IR Iran,world_cup,4.0,Shoja' Khalilzadeh,DF,1.ir Tractor,"Bahnemīr, Iran",1989-05-14,37-028,,,
IR Iran,world_cup,20.0,Shahriar Moghanlou,MF,1.ae Al-Ittihad Kalba SC,"Zanjān, Iran",1994-12-21,31-172,,,
IR Iran,world_cup,5.0,Milad Mohammadi,"DF,MF",1.ir Persepolis,"Tehran, Iran",1993-09-29,32-255,,,
IR Iran,world_cup,8.0,Mohammad Mohebi,"FW,MF",1.ru Rostov,"Īrān, Iran",1998-12-20,27-173,,,
IR Iran,world_cup,19.0,Ali Nemati,DF,1.ir Foolad,"Īrān, Iran",1996-02-08,30-123,,,
IR Iran,world_cup,12.0,Payam Niazmand,GK,1.ir Persepolis,"Tehran, Iran",1995-04-06,31-066,,,
IR Iran,world_cup,26.0,Amirmohammad Razzaghinia,MF,1.ir Esteghlal,"Yazd, Iran",2006-04-11,20-061,,,
IR Iran,world_cup,23.0,Ramin Rezaeian,DF,1.ir Foolad,"Sarī, Iran",1990-03-21,36-082,,,
IR Iran,world_cup,9.0,Mehdi Taremi,"FW,MF",1.gr Olympiacos,"Karaj, Iran",1992-07-18,33-328,,,
IR Iran,world_cup,16.0,Mehdi Torabi,MF,1.ir Tractor,"Eshtehārd, Iran",1994-09-10,31-274,,,
IR Iran,world_cup,17.0,Aria Yousefi,DF,1.ir Sepahan,"Bandar-e Māhshahr, Iran",2002-04-22,24-050,,,
Iraq,world_cup,3.0,Hussein Ali,DF,1.pl Pogoń Szczecin,"Malmö, Sweden",2002-03-01,24-102,,,
Iraq,world_cup,10.0,Mohanad Ali,FW,1.ae Dibba Al Fujairah,"Baghdad, Iraq",2000-06-20,25-356,,,
Iraq,world_cup,16.0,Amir Al Ammari,MF,1.pl Cracovia,"Jönköping, Sweden",1997-07-27,28-319,,,
Iraq,world_cup,7.0,Youssef Amyn,MF,1.cy AEK Larnaca,"Essen, Germany",2003-08-21,22-294,,,
Iraq,world_cup,22.0,Ahmed Basil,GK,1.iq Al-Shorta,"Baghdad, Iraq",1996-08-19,29-296,,,
Iraq,world_cup,8.0,Ibrahim Bayesh,MF,1.ae Al Dhafra SCC,"Baghdad, Iraq",2000-05-01,26-041,,,
Iraq,world_cup,26.0,Frans Dhia Putros,DF,1.id Persib Bandung,"Århus, Denmark",1993-07-14,32-332,,,
Iraq,world_cup,23.0,Merchas Doski,"DF,MF",1.cz Viktoria Plzeň,"Hannover, Landeshauptstadt, Germany",1999-12-07,26-186,,,
Iraq,world_cup,21.0,Marko Farji,MF,2.it Venezia,"Grimstad, Norway",2004-03-16,22-087,,,
Iraq,world_cup,9.0,Ali Al Hamadi,FW,2.eng Ipswich Town,"England, United Kingdom",2002-03-01,24-102,,,
Iraq,world_cup,5.0,Akam Hashim,DF,1.iq Al-Zawra'a SC,"Arbil, Iraq",1998-08-16,27-299,,,
Iraq,world_cup,12.0,Jalal Hassan,GK,1.iq Al-Zawra'a SC,"Baghdad, Iraq",1991-05-18,35-024,,,
Iraq,world_cup,18.0,Ayman Hussein,FW,1.iq Al-Karma,Iraq,1996-03-22,30-081,,,
Iraq,world_cup,14.0,Zidane Iqbal,MF,1.nl Utrecht,"England, United Kingdom",2003-04-27,23-045,,,
Iraq,world_cup,24.0,Zaid Ismail,MF,1.iq Al-Talaba,Iraq,2002-01-03,24-159,,,
Iraq,world_cup,17.0,Ali Jasim,MF,1.sa Al-Najma,"Baghdad, Iraq",2004-01-20,22-142,,,
Iraq,world_cup,15.0,Ahmed Maknzi,DF,1.iq Al-Karma,"Baghdad, Iraq",2001-09-24,24-260,,,
Iraq,world_cup,11.0,Ahmed Qasem,"FW,MF",1.us Nashville SC,"Motala, Sweden",2003-07-12,22-334,,,
Iraq,world_cup,25.0,Mustafa Saadoon,DF,1.iq Al-Shorta,Iraq,2001-05-25,25-017,,,
Iraq,world_cup,20.0,Aimar Sher,MF,1.no Sarpsborg 08,"Kirkuk, Iraq",2002-12-20,23-173,,,
Iraq,world_cup,2.0,Rebin Sulaka,DF,1.th Port FC,"‘Aynkāwah, Iraq",1992-04-12,34-060,,,
Iraq,world_cup,4.0,Zaid Tahseen,DF,1.uz Pakhtakor Tashkent FK,"Najaf, Iraq",2001-01-29,25-133,,,
Iraq,world_cup,1.0,Fahad Talib,GK,1.iq Al-Talaba,Iraq,1994-10-21,31-233,,,
Iraq,world_cup,,Ahmed Yahya,DF,1.iq Al-Shorta,,1995-07-01,30-345,,,
Iraq,world_cup,19.0,Kevin Yakob,MF,1.dk AGF,"Göteborg, Sweden",2000-10-10,25-244,,,
Iraq,world_cup,6.0,Manaf Younis,DF,1.iq Al-Shorta,"Tikrīt, Iraq",1996-11-16,29-207,,,
